configuration,active_rules,max_num_seqs,measurement_count,median_model_tokens_per_second,iqr_model_tokens_per_second,throughput_loss_vs_matched_empty_extension_fraction
Matched Empty Extension,0,32,5,2690.5852066583257,3.3209663522325172,0.0
LMSM-Checkpoint,1,32,5,2633.5033664398497,12.377807753211528,0.02121539956334295
LMSM-Checkpoint,6,32,5,2645.240523870151,6.686463836359053,0.016853093028223576
LMSM-Checkpoint,15,32,5,2606.9514787560333,6.63161147675828,0.031083842910949677
LMSM-Anytime,1,32,5,2504.3036975355253,48.33353299583996,0.06923456973665576
LMSM-Anytime,6,32,5,2394.073413912439,0.5422569939428286,0.11020345760175754
LMSM-Anytime,15,32,5,2257.795583847953,10.232755211714903,0.16085334214257885
