arm,category,denominator,step,cumulative_count,fraction
LMSM-Anytime,all,1566,130,1470,0.9386973180076629
LMSM-Anytime,all,1566,133,1471,0.9393358876117497
LMSM-Anytime,all,1566,134,1474,0.9412515964240102
LMSM-Anytime,all,1566,139,1475,0.941890166028097
LMSM-Anytime,all,1566,140,1476,0.9425287356321839
LMSM-Anytime,all,1566,147,1477,0.9431673052362708
LMSM-Anytime,all,1566,155,1478,0.9438058748403576
LMSM-Anytime,all,1566,158,1479,0.9444444444444444
LMSM-Anytime,all,1566,160,1480,0.9450830140485313
LMSM-Anytime,all,1566,162,1482,0.946360153256705
LMSM-Anytime,all,1566,163,1483,0.9469987228607918
LMSM-Anytime,all,1566,166,1484,0.9476372924648787
LMSM-Anytime,all,1566,167,1486,0.9489144316730523
LMSM-Anytime,all,1566,169,1487,0.9495530012771393
LMSM-Anytime,all,1566,170,1488,0.9501915708812261
LMSM-Anytime,all,1566,171,1489,0.9508301404853129
LMSM-Anytime,all,1566,173,1490,0.9514687100893997
LMSM-Anytime,all,1566,174,1491,0.9521072796934866
LMSM-Anytime,all,1566,176,1492,0.9527458492975734
LMSM-Anytime,all,1566,177,1493,0.9533844189016603
LMSM-Anytime,all,1566,181,1494,0.9540229885057471
LMSM-Anytime,all,1566,184,1496,0.9553001277139208
LMSM-Anytime,all,1566,185,1497,0.9559386973180076
LMSM-Anytime,all,1566,187,1500,0.9578544061302682
LMSM-Anytime,all,1566,188,1501,0.958492975734355
LMSM-Anytime,all,1566,192,1502,0.9591315453384419
LMSM-Anytime,all,1566,196,1504,0.9604086845466155
LMSM-Anytime,all,1566,198,1505,0.9610472541507025
LMSM-Anytime,all,1566,199,1506,0.9616858237547893
LMSM-Anytime,all,1566,200,1507,0.9623243933588761
LMSM-Anytime,all,1566,202,1508,0.9629629629629629
LMSM-Anytime,all,1566,205,1509,0.9636015325670498
LMSM-Anytime,all,1566,206,1510,0.9642401021711366
LMSM-Anytime,all,1566,211,1511,0.9648786717752235
LMSM-Anytime,all,1566,212,1512,0.9655172413793104
LMSM-Anytime,all,1566,213,1513,0.9661558109833972
LMSM-Anytime,all,1566,214,1514,0.966794380587484
LMSM-Anytime,all,1566,215,1515,0.9674329501915708
LMSM-Anytime,all,1566,219,1516,0.9680715197956578
LMSM-Anytime,all,1566,223,1517,0.9687100893997446
LMSM-Anytime,all,1566,225,1520,0.9706257982120051
LMSM-Anytime,all,1566,227,1521,0.9712643678160919
LMSM-Anytime,all,1566,231,1522,0.9719029374201787
LMSM-Anytime,all,1566,233,1523,0.9725415070242657
LMSM-Anytime,all,1566,234,1524,0.9731800766283525
LMSM-Anytime,all,1566,236,1525,0.9738186462324393
LMSM-Anytime,all,1566,237,1526,0.9744572158365262
LMSM-Anytime,all,1566,238,1528,0.9757343550446999
LMSM-Anytime,all,1566,240,1529,0.9763729246487867
LMSM-Anytime,all,1566,241,1530,0.9770114942528736
LMSM-Anytime,all,1566,251,1531,0.9776500638569604
LMSM-Anytime,all,1566,253,1532,0.9782886334610472
LMSM-Anytime,all,1566,255,1533,0.9789272030651341
LMSM-Anytime,all,1566,256,1534,0.979565772669221
LMSM-Anytime,all,1566,262,1535,0.9802043422733078
LMSM-Anytime,all,1566,272,1536,0.9808429118773946
LMSM-Anytime,all,1566,274,1537,0.9814814814814815
LMSM-Anytime,all,1566,282,1541,0.9840357598978289
LMSM-Anytime,all,1566,285,1542,0.9846743295019157
LMSM-Anytime,all,1566,292,1544,0.9859514687100894
LMSM-Anytime,all,1566,296,1545,0.9865900383141762
LMSM-Anytime,all,1566,299,1546,0.9872286079182631
LMSM-Anytime,all,1566,305,1547,0.98786717752235
LMSM-Anytime,all,1566,306,1548,0.9885057471264368
LMSM-Anytime,all,1566,330,1549,0.9891443167305236
LMSM-Anytime,all,1566,337,1550,0.9897828863346104
LMSM-Anytime,all,1566,345,1551,0.9904214559386973
LMSM-Anytime,all,1566,363,1552,0.9910600255427842
LMSM-Anytime,all,1566,379,1553,0.991698595146871
LMSM-Anytime,all,1566,394,1554,0.9923371647509579
LMSM-Anytime,all,1566,396,1555,0.9929757343550447
LMSM-Anytime,all,1566,407,1556,0.9936143039591315
LMSM-Anytime,all,1566,412,1557,0.9942528735632183
LMSM-Anytime,all,1566,416,1558,0.9948914431673053
LMSM-Anytime,all,1566,419,1560,0.9961685823754789
LMSM-Anytime,all,1566,421,1561,0.9968071519795658
LMSM-Anytime,all,1566,422,1562,0.9974457215836526
LMSM-Anytime,all,1566,463,1563,0.9980842911877394
LMSM-Anytime,all,1566,494,1564,0.9987228607918263
LMSM-Anytime,all,1566,496,1565,0.9993614303959132
LMSM-Anytime,all,1566,506,1566,1.0
